School District,County,Median List Price (District),Median List Price (County),List Price Premium (vs County),Listing Views (vs County),Days on Market (District),Days on Market (County),Days on Market (vs County %),Median Days on Market (vs County),Avg. School Rating
Waverly-Shell Rock Community School District,"Bremer, IA","$230,000 ","$230,000 ",100%,100.00%,54,54,100%,0,10
Brevard School District,"Brevard, FL","$225,000 ","$225,000 ",100%,100.00%,60,60,100%,0,7
Alpine Isd School District,"Brewster, TX","$219,000 ","$219,000 ",100%,100.00%,164,164,100%,0,6.7
North Attleborough School District,"Bristol, MA","$350,000 ","$350,000 ",100%,117.39%,45,55,82%,-10,8.9
Townsend K-12 School District,"Broadwater, MT","$219,000 ","$219,000 ",100%,100.00%,95,95,100%,0,5.7
New York City Public School District,"Bronx, NY","$299,000 ","$299,000 ",100%,100.00%,80,80,100%,0,3.8
Brooke County School District,"Brooke, WV","$110,000 ","$110,000 ",100%,100.00%,97,97,100%,0,5
Broward School District,"Broward, FL","$260,000 ","$260,000 ",100%,100.00%,69,69,100%,0,5.6
Aberdeen School District 06-1 School District,"Brown, SD","$182,000 ","$182,000 ",100%,100.00%,53,53,100%,0,6.5
Brunswick County School District,"Brunswick, NC","$285,000 ","$285,000 ",100%,100.00%,113,113,100%,0,5.7
Brunswick Co Pblc Schs School District,"Brunswick, VA","$159,000 ","$159,000 ",100%,100.00%,116,116,100%,0,2
Bryan County School District,"Bryan, GA","$269,000 ","$269,000 ",100%,100.00%,74,74,100%,0,8.6
Independence Community School District,"Buchanan, IA","$136,000 ","$136,000 ",100%,100.00%,86,86,100%,0,7
St. Joseph School District,"Buchanan, MO","$99,000 ","$99,000 ",100%,100.00%,76,76,100%,0,5.2
Kearney Public School District,"Buffalo, NE","$222,000 ","$222,000 ",100%,100.00%,60,60,100%,0,5
Bullitt Co School District,"Bullitt, KY","$190,000 ","$190,000 ",100%,100.00%,59,59,100%,0,6.8
Bulloch County School District,"Bulloch, GA","$160,000 ","$160,000 ",100%,100.00%,108,108,100%,0,5.2
Burke County School District,"Burke, NC","$180,000 ","$180,000 ",100%,100.00%,109,109,100%,0,6.3
Bismarck 1 School District,"Burleigh, ND","$290,000 ","$290,000 ",100%,100.00%,48,48,100%,0,5.8
Butler County School District,"Butler, AL","$140,000 ","$140,000 ",100%,100.00%,223,223,100%,0,3.7
Poplar Bluff R-I School District,"Butler, MO","$120,000 ","$120,000 ",100%,100.00%,81,81,100%,0,5
Caddo Parish School District,"Caddo, LA","$175,000 ","$175,000 ",100%,100.00%,74,74,100%,0,7.8
Bret Harte Union High School District,"Calaveras, CA","$349,000 ","$349,000 ",100%,100.00%,61,61,100%,0,7
Calcasieu Parish School District,"Calcasieu, LA","$229,000 ","$229,000 ",100%,100.00%,76,76,100%,0,6.4
Caldwell Co School District,"Caldwell, KY","$90,000 ","$90,000 ",100%,100.00%,59,59,100%,0,6.3
Calhoun County Isd School District,"Calhoun, TX","$216,000 ","$216,000 ",100%,100.00%,139,139,100%,0,5.9
Camden County School District,"Camden, GA","$210,000 ","$210,000 ",100%,100.00%,82,82,100%,0,7.5
Camden County School District,"Camden, NC","$289,000 ","$289,000 ",100%,100.00%,104,104,100%,0,7.4
Pittsburg Isd School District,"Camp, TX","$222,000 ","$222,000 ",100%,100.00%,105,105,100%,0,7.5
Campbell Co Pblc Schs School District,"Campbell, VA","$165,000 ","$165,000 ",100%,100.00%,81,81,100%,0,4.9
Carbon District School District,"Carbon, UT","$133,000 ","$133,000 ",100%,100.00%,120,120,100%,0,5.6
Caroline Co Pblc Schs School District,"Caroline, VA","$220,000 ","$220,000 ",100%,100.00%,71,71,100%,0,4
Carroll Community School District,"Carroll, IA","$143,000 ","$143,000 ",100%,100.00%,53,53,100%,0,7.3
Carroll County Public School District,"Carroll, MD","$310,000 ","$310,000 ",100%,100.00%,54,54,100%,0,8
Carroll Co Pblc Schs School District,"Carroll, VA","$175,000 ","$175,000 ",100%,100.00%,111,111,100%,0,5
Elizabethton School District,"Carter, TN","$118,000 ","$118,000 ",100%,100.00%,73,73,100%,0,8
Carteret County Public School District,"Carteret, NC","$279,000 ","$279,000 ",100%,100.00%,118,118,100%,0,7.7
Atlantic Community School District,"Cass, IA","$106,000 ","$106,000 ",100%,100.00%,88,88,100%,0,3.8
Atlanta Isd School District,"Cass, TX","$135,000 ","$135,000 ",100%,100.00%,145,145,100%,0,7
Cassia County Joint District School District,"Cassia, ID","$200,000 ","$200,000 ",100%,100.00%,41,41,100%,0,4.2
Caswell County School District,"Caswell, NC","$161,000 ","$161,000 ",100%,100.00%,146,146,100%,0,3
Catoosa County School District,"Catoosa, GA","$192,000 ","$192,000 ",100%,100.00%,59,59,100%,0,6.5
Cecil County Public School District,"Cecil, MD","$230,000 ","$230,000 ",100%,100.00%,73,73,100%,0,5.2
Lanett City School District,"Chambers, AL","$57,000 ","$57,000 ",100%,100.00%,141,141,100%,0,3
Charles County Public School District,"Charles, MD","$300,000 ","$300,000 ",100%,100.00%,67,67,100%,0,6.1
ALBEMARLE CO PBLC SCHS,"Charlottesville city, VA","$592,000 ","$592,000 ",100%,100.00%,84,84,100%,0,6.5
Chatham County School District,"Chatham, GA","$250,000 ","$250,000 ",100%,100.00%,96,96,100%,0,5
Chattooga County School District,"Chattooga, GA","$124,000 ","$124,000 ",100%,100.00%,108,108,100%,0,3
Roswell Independent School District,"Chaves, NM","$149,000 ","$149,000 ",100%,100.00%,75,75,100%,0,7
Cherokee County School District,"Cherokee, AL","$199,000 ","$199,000 ",100%,100.00%,124,124,100%,0,5.6
Cherokee Community School District,"Cherokee, IA","$78,000 ","$78,000 ",100%,100.00%,102,102,100%,0,6
Cherokee 01 School District,"Cherokee, SC","$130,000 ","$130,000 ",100%,100.00%,62,62,100%,0,3.7
Chester County School District,"Chester, TN","$126,000 ","$126,000 ",100%,100.00%,81,81,100%,0,7
Montevideo Public School District,"Chippewa, MN","$100,000 ","$100,000 ",100%,100.00%,90,90,100%,0,4
Edenton/Chowan School District,"Chowan, NC","$249,000 ","$249,000 ",100%,100.00%,163,163,100%,0,4.3
Christian County School District,"Christian, KY","$115,000 ","$115,000 ",100%,100.00%,76,76,100%,0,4.9
Churchill County School District,"Churchill, NV","$212,000 ","$212,000 ",100%,100.00%,51,51,100%,0,5.8
Citrus School District,"Citrus, FL","$180,000 ","$180,000 ",100%,100.00%,84,84,100%,0,7.1
Clarion Area School District,"Clarion, PA","$131,000 ","$131,000 ",100%,100.00%,130,130,100%,0,7
Arkadelphia School District,"Clark, AR","$141,000 ","$141,000 ",100%,100.00%,182,182,100%,0,5.3
Clark County School District,"Clark, KY","$155,000 ","$155,000 ",100%,100.00%,66,66,100%,0,6.7
Clark County School District,"Clark, NV","$245,000 ","$245,000 ",100%,100.00%,62,62,100%,0,6
Neillsville School District,"Clark, WI","$113,000 ","$113,000 ",100%,116.67%,109,113,96%,-4,7
Clarke Community School District,"Clarke, IA","$117,000 ","$117,000 ",100%,100.00%,74,74,100%,0,5
Clarke Co Pblc Schs School District,"Clarke, VA","$400,000 ","$400,000 ",100%,100.00%,81,81,100%,0,5
Clay School District,"Clay, FL","$210,000 ","$210,000 ",100%,100.00%,74,74,100%,0,6.7
Spencer Community School District,"Clay, IA","$139,000 ","$139,000 ",100%,100.00%,38,38,100%,0,8
West Point School Dist School District,"Clay, MS","$151,000 ","$151,000 ",100%,100.00%,115,115,100%,0,4
Clay County School District,"Clay, NC","$262,000 ","$262,000 ",100%,100.00%,145,145,100%,0,6.3
Cleveland County School District,"Cleveland, NC","$131,000 ","$131,000 ",100%,100.00%,115,115,100%,0,5.7
Community Schools Of Frankfort School District,"Clinton, IN","$70,000 ","$70,000 ",100%,100.00%,51,51,100%,0,3
Watertown School District 14-4 School District,"Codington, SD","$225,000 ","$225,000 ",100%,100.00%,62,62,100%,0,6
Coffee County School District,"Coffee, GA","$120,000 ","$120,000 ",100%,100.00%,116,116,100%,0,5.7
Jefferson City School District,"Cole, MO","$139,000 ","$139,000 ",100%,100.00%,60,60,100%,0,5.6
Raton Public School District,"Colfax, NM","$128,000 ","$128,000 ",100%,100.00%,80,80,100%,0,6.5
Plano Isd School District,"Collin, TX","$379,000 ","$379,000 ",100%,110.13%,32,37,86%,-5,8.3
Colquitt County School District,"Colquitt, GA","$125,000 ","$125,000 ",100%,100.00%,111,111,100%,0,4.9
Magnolia School District,"Columbia, AR","$161,000 ","$161,000 ",100%,100.00%,90,90,100%,0,4.5
Columbia School District,"Columbia, FL","$170,000 ","$170,000 ",100%,100.00%,103,103,100%,0,5.3
Dayton School District,"Columbia, WA","$140,000 ","$140,000 ",100%,100.00%,123,123,100%,0,4.5
Whiteville City School District,"Columbus, NC","$150,000 ","$150,000 ",100%,100.00%,103,103,100%,0,4.3
Comanche Isd School District,"Comanche, TX","$115,000 ","$115,000 ",100%,100.00%,123,123,100%,0,5.8
So. Conway Co. School District,"Conway, AR","$90,000 ","$90,000 ",100%,100.00%,109,109,100%,0,5.5
Cook County School District,"Cook, GA","$118,000 ","$118,000 ",100%,100.00%,84,84,100%,0,4.7
Cook County Public School District,"Cook, MN","$285,000 ","$285,000 ",100%,100.00%,94,94,100%,0,5
Boonville R-I School District,"Cooper, MO","$137,000 ","$137,000 ",100%,100.00%,75,75,100%,0,5.3
Coweta County School District,"Coweta, GA","$270,000 ","$270,000 ",100%,100.00%,55,55,100%,0,6.7
Craven County School District,"Craven, NC","$175,000 ","$175,000 ",100%,100.00%,97,97,100%,0,5.8
Crawford Ausable School District,"Crawford, MI","$120,000 ","$120,000 ",100%,100.00%,71,71,100%,0,7.7
Prairie Du Chien Area School District,"Crawford, WI","$140,000 ","$140,000 ",100%,119.05%,87,86,101%,1,6.9
Crisp County School District,"Crisp, GA","$198,000 ","$198,000 ",100%,100.00%,229,229,100%,0,4
Wynne School District,"Cross, AR","$160,000 ","$160,000 ",100%,100.00%,135,135,100%,0,6.7
Cullman City School District,"Cullman, AL","$170,000 ","$170,000 ",100%,100.00%,87,87,100%,0,10
Currituck County School District,"Currituck, NC","$400,000 ","$400,000 ",100%,100.00%,116,116,100%,0,6.8
Clovis Municipal School District,"Curry, NM","$173,000 ","$173,000 ",100%,100.00%,87,87,100%,0,6.9
Custer County School District Consolidate 1 School District,"Custer, CO","$289,000 ","$289,000 ",100%,100.00%,310,310,100%,0,7
Weatherford School District,"Custer, OK","$212,000 ","$212,000 ",100%,100.00%,68,68,100%,0,8
Custer School District 16-1 School District,"Custer, SD","$299,000 ","$299,000 ",100%,100.00%,71,71,100%,0,4.8
Dade County School District,"Dade, GA","$199,000 ","$199,000 ",100%,100.00%,75,75,100%,0,6
Dallas Co. R-I School District,"Dallas, MO","$98,000 ","$98,000 ",100%,100.00%,118,118,100%,0,5
Pittsylvania Co Pblc Schs School District,"Danville city, VA","$192,000 ","$192,000 ",100%,100.00%,111,111,100%,0,6.1
Greenville City School District,"Darke, OH","$105,000 ","$105,000 ",100%,93.75%,84,82,102%,2,4.8
Darlington 01 School District,"Darlington, SC","$135,000 ","$135,000 ",100%,100.00%,90,90,100%,0,5.1
Davie County School District,"Davie, NC","$238,000 ","$238,000 ",100%,100.00%,106,106,100%,0,7.8
Davis District School District,"Davis, UT","$284,000 ","$284,000 ",100%,100.00%,38,38,100%,0,6.4
Desoto Parish School District,"De Soto, LA","$260,000 ","$260,000 ",100%,100.00%,57,57,100%,0,5.9
Clinton Cusd 15 School District,"De Witt, IL","$102,000 ","$102,000 ",100%,100.00%,46,46,100%,0,6.1
Hereford Isd School District,"Deaf Smith, TX","$115,000 ","$115,000 ",100%,100.00%,97,97,100%,0,3.4
Decatur County School District,"Decatur, GA","$130,000 ","$130,000 ",100%,100.00%,143,143,100%,0,4
Greensburg Community School District,"Decatur, IN","$110,000 ","$110,000 ",100%,100.00%,72,72,100%,0,7
Anaconda H S School District,"Deer Lodge, MT","$125,000 ","$125,000 ",100%,100.00%,117,117,100%,0,3.7
Fort Payne City School District,"DeKalb, AL","$155,000 ","$155,000 ",100%,100.00%,96,96,100%,0,6
Del Norte County Unified School District,"Del Norte, CA","$295,000 ","$295,000 ",100%,100.00%,82,82,100%,0,7
Delta County Joint District No. 50 School District,"Delta, CO","$230,000 ","$230,000 ",100%,100.00%,96,96,100%,0,6.4
Salem R-80 School District,"Dent, MO","$77,000 ","$77,000 ",100%,100.00%,101,101,100%,0,5.7
School District No. 1 In The County Of Denver And State Of C School District,"Denver, CO","$559,000 ","$559,000 ",100%,100.00%,25,27,93%,-2,5.2
Desoto Co School Dist School District,"DeSoto, MS","$220,000 ","$220,000 ",100%,100.00%,61,61,100%,0,8.5
Dickson County School District,"Dickson, TN","$202,000 ","$202,000 ",100%,100.00%,42,42,100%,0,7.6
District Of Columbia Public School District,"District of Columbia, DC","$575,000 ","$575,000 ",100%,100.00%,39,39,100%,0,6.3
Fremont Public School District,"Dodge, NE","$135,000 ","$135,000 ",100%,100.00%,55,55,100%,0,4.5
Las Cruces Public School District,"Dona Ana, NM","$200,000 ","$200,000 ",100%,100.00%,86,86,100%,0,6.4
Douglas County School District No. Re 1,"Douglas, CO","$619,000 ","$619,000 ",100%,100.00%,33,33,100%,0,8.1
Alexandria Public School District,"Douglas, MN","$250,000 ","$250,000 ",100%,100.00%,86,86,100%,0,8.3
Douglas County School District,"Douglas, NV","$445,000 ","$445,000 ",100%,100.00%,66,66,100%,0,8.3
Eastmont School District,"Douglas, WA","$310,000 ","$310,000 ",100%,100.00%,60,60,100%,0,6.4
Dubuque Community School District,"Dubuque, IA","$185,000 ","$185,000 ",100%,100.00%,53,53,100%,0,6.1
Marthas Vineyard School District,"Dukes, MA","$1,295,000 ","$1,295,000 ",100%,102.78%,113,118,96%,-5,7.6
Duplin County School District,"Duplin, NC","$147,000 ","$147,000 ",100%,100.00%,109,109,100%,0,3.6
Durham Public School District,"Durham, NC","$245,000 ","$245,000 ",100%,100.00%,45,45,100%,0,3.7
Duval School District,"Duval, FL","$189,000 ","$189,000 ",100%,100.00%,65,65,100%,0,5.3
Eagle County School District No. Re 50 School District,"Eagle, CO","$712,000 ","$712,000 ",100%,100.00%,191,191,100%,0,4.7
Nash-Rocky Mount School District,"Edgecombe, NC","$54,000 ","$54,000 ",100%,100.00%,275,275,100%,0,2.5
Effingham County School District,"Effingham, GA","$202,000 ","$202,000 ",100%,100.00%,81,81,100%,0,7.7
School District No. C-1 In The County Of Elbert And State O,"Elbert, CO","$562,000 ","$562,000 ",100%,100.00%,29,29,100%,0,7
Elko County School District,"Elko, NV","$255,000 ","$255,000 ",100%,100.00%,71,71,100%,0,5.8
Mountain Home District School District,"Elmore, ID","$173,000 ","$173,000 ",100%,104.35%,69,75,92%,-6,4.3
Vermilion Local School District,"Erie, OH","$190,000 ","$190,000 ",100%,128.00%,109,96,114%,13,5.1
Escambia School District,"Escambia, FL","$190,000 ","$190,000 ",100%,100.00%,81,81,100%,0,5.2
Ausable Valley Central School District,"Essex, NY","$195,000 ","$195,000 ",100%,127.78%,262,264,99%,-2,5
Willsboro Central School District,"Essex, NY","$195,000 ","$195,000 ",100%,122.22%,323,264,122%,59,6
Essex Co Pblc Schs School District,"Essex, VA","$239,000 ","$239,000 ",100%,100.00%,101,101,100%,0,3
Fairbanks North Star Borough School District,"Fairbanks North Star, AK","$224,000 ","$224,000 ",100%,100.00%,51,51,100%,0,6.4
Fairfax Co Pblc Schs School District,"Fairfax, VA","$579,000 ","$579,000 ",100%,100.00%,44,44,100%,0,7.1
Fairfield 01 School District,"Fairfield, SC","$219,000 ","$219,000 ",100%,100.00%,95,95,100%,0,2
Fannin County School District,"Fannin, GA","$300,000 ","$300,000 ",100%,100.00%,89,89,100%,0,7
Greenbrier School District,"Faulkner, AR","$170,000 ","$170,000 ",100%,69.44%,83,65,128%,18,9
Fauquier Co Pblc Schs School District,"Fauquier, VA","$459,000 ","$459,000 ",100%,100.00%,62,62,100%,0,6.3
Fayette County School District,"Fayette, GA","$360,000 ","$360,000 ",100%,100.00%,53,53,100%,0,8.9
Vandalia Cusd 203 School District,"Fayette, IL","$91,000 ","$91,000 ",100%,100.00%,144,144,100%,0,4.3
Fayette County School Corporation,"Fayette, IN","$78,000 ","$78,000 ",100%,100.00%,75,75,100%,0,5.7
Fayette County School District,"Fayette, KY","$210,000 ","$210,000 ",100%,100.00%,50,50,100%,0,7.1
Garden City School District,"Finney, KS","$200,000 ","$200,000 ",100%,100.00%,62,62,100%,0,3.9
Flagler School District,"Flagler, FL","$295,000 ","$295,000 ",100%,100.00%,86,86,100%,0,6.9
Florence County School District,"Florence, WI","$183,000 ","$183,000 ",100%,100.00%,81,81,100%,0,5.3
New Albany-Floyd Co Con School,"Floyd, IN","$155,000 ","$155,000 ",100%,100.00%,53,53,100%,0,5.8
Floyd County,"Floyd, KY","$130,000 ","$130,000 ",100%,100.00%,103,103,100%,0,6.2
Floyd Co Pblc Schs School District,"Floyd, VA","$275,000 ","$275,000 ",100%,100.00%,100,100,100%,0,6
Fluvanna Co Pblc Schs School District,"Fluvanna, VA","$244,000 ","$244,000 ",100%,100.00%,79,79,100%,0,7
Dodge City School District,"Ford, KS","$136,000 ","$136,000 ",100%,100.00%,82,82,100%,0,3
Crandon School District,"Forest, WI","$163,000 ","$163,000 ",100%,100.00%,103,103,100%,0,4.3
Petal School Dist School District,"Forrest, MS","$150,000 ","$150,000 ",100%,100.00%,67,67,100%,0,9
Forsyth County School District,"Forsyth, GA","$360,000 ","$360,000 ",100%,100.00%,45,45,100%,0,9.2
Ozark School District,"Franklin, AR","$94,000 ","$94,000 ",100%,95.83%,141,138,102%,3,7
Franklin School District,"Franklin, FL","$365,000 ","$365,000 ",100%,100.00%,92,92,100%,0,6
Frankfort Independent School District,"Franklin, KY","$110,000 ","$110,000 ",100%,100.00%,101,101,100%,0,4
Franklin County School District,"Franklin, NC","$239,000 ","$239,000 ",100%,100.00%,59,59,100%,0,4.7
Canal Winchester Local School District,"Franklin, OH","$190,000 ","$190,000 ",100%,113.48%,30,38,79%,-8,7.3
Mount Vernon Isd School District,"Franklin, TX","$269,000 ","$269,000 ",100%,100.00%,102,102,100%,0,7.3
Pasco School District,"Franklin, WA","$239,000 ","$239,000 ",100%,100.00%,26,26,100%,0,3.9
Fremont Re-2 School District,"Fremont, CO","$200,000 ","$200,000 ",100%,102.78%,67,65,103%,2,4
Rochester Community School Corporation,"Fulton, IN","$140,000 ","$140,000 ",100%,100.00%,107,107,100%,0,6
Beatrice Public School District,"Gage, NE","$109,000 ","$109,000 ",100%,100.00%,79,79,100%,0,5
Seminole Isd School District,"Gaines, TX","$220,000 ","$220,000 ",100%,100.00%,149,149,100%,0,5
Gallipolis City School District,"Gallia, OH","$129,000 ","$129,000 ",100%,100.00%,85,85,100%,0,5
Garrard County School District,"Garrard, KY","$140,000 ","$140,000 ",100%,100.00%,73,73,100%,0,5
Geary County School District,"Geary, KS","$140,000 ","$140,000 ",100%,100.00%,85,85,100%,0,3
George Co School Dist School District,"George, MS","$150,000 ","$150,000 ",100%,100.00%,81,81,100%,0,6
Georgetown 01 School District,"Georgetown, SC","$335,000 ","$335,000 ",100%,100.00%,123,123,100%,0,7.1
Gilmer County School District,"Gilmer, GA","$240,000 ","$240,000 ",100%,100.00%,78,78,100%,0,5.1
Gloucester Co Pblc Schs School District,"Gloucester, VA","$260,000 ","$260,000 ",100%,100.00%,79,79,100%,0,5.8
Glynn County School District,"Glynn, GA","$359,000 ","$359,000 ",100%,100.00%,110,110,100%,0,7
Goochland Co Pblc Schs School District,"Goochland, VA","$520,000 ","$520,000 ",100%,100.00%,83,83,100%,0,5
Calhoun City School District,"Gordon, GA","$185,000 ","$185,000 ",100%,100.00%,60,60,100%,0,6.7
Grady County School District,"Grady, GA","$150,000 ","$150,000 ",100%,100.00%,99,99,100%,0,4
Graham County School District,"Graham, NC","$199,000 ","$199,000 ",100%,100.00%,181,181,100%,0,5.3
Grand Forks 1 School District,"Grand Forks, ND","$239,000 ","$239,000 ",100%,100.00%,36,36,100%,0,6
Grand District School District,"Grand, UT","$350,000 ","$350,000 ",100%,100.00%,115,115,100%,0,5.3
Sheridan School District,"Grant, AR","$125,000 ","$125,000 ",100%,100.00%,69,69,100%,0,8
Grant County,"Grant, KY","$162,000 ","$162,000 ",100%,100.00%,71,71,100%,0,5
Pampa Isd School District,"Gray, TX","$114,000 ","$114,000 ",100%,100.00%,87,87,100%,0,5
Grayson County School District,"Grayson, KY","$140,000 ","$140,000 ",100%,100.00%,82,82,100%,0,7
Grayson Co Pblc Schs School District,"Grayson, VA","$180,000 ","$180,000 ",100%,100.00%,172,172,100%,0,5
